Address,Minute,Blue kills,Blue deaths,Kill freq,Blue kill freq,Blue death freq,Red structures taken,Blue structures lost,Structure freq,Blue structure freq,Red structure freq,Blue gold,Gold diff,Delta gold diff,Blue win
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,1,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2415.0,0.0,0.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,2,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2415.0,0.0,0.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,3,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2710.0,0.0,0.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,4,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3804.0,-158.0,-158.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,5,1,1,0.4,0.2,0.2,0,0,0.0,0.0,0.0,5004.0,-525.0,-525.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,6,1,2,0.6,0.2,0.4,0,0,0.0,0.0,0.0,6742.0,-1078.0,-1078.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,7,1,2,0.6,0.2,0.4,0,0,0.0,0.0,0.0,7950.0,-955.0,-797.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,8,1,2,0.6,0.2,0.4,0,0,0.0,0.0,0.0,9233.0,-1163.0,-638.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,9,1,2,0.6,0.2,0.4,0,0,0.0,0.0,0.0,10795.0,-935.0,143.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,10,2,2,0.4,0.2,0.2,0,0,0.0,0.0,0.0,11957.0,-1096.0,-141.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,11,2,2,0.2,0.2,0.0,0,0,0.0,0.0,0.0,13697.0,-775.0,388.0,False
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110098?gameHash=5859e05051fdabbe,12,4,2,0.6,0.6,0.0,1,1,0.4,0.2,0.2,15209.0,-696.0,239.0,False
